name,Machine,NumberOfSections,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Win32VersionValue,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes
E:/sampel/case3_vmini/dmp/pid.68.0x7ff65c690000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,26112.0,23040.0,0.0,20096.0,4096.0,140696089067520.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,115556.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case3_vmini/dmp/pid.1064.0x7ff65c690000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,26112.0,23040.0,0.0,20096.0,4096.0,140696089067520.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,115556.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case3_vmini/dmp/pid.1092.0x7ff65c690000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,26112.0,23040.0,0.0,20096.0,4096.0,140696089067520.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,115556.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case3_vmini/dmp/pid.1116.0x140000000.dmp,34404.0,7.0,0.0,0.0,240.0,35.0,523.0,14.0,0.0,14811136.0,10344448.0,0.0,1543692.0,4096.0,5368709120.0,4096.0,512.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,25174016.0,1024.0,25026217.0,2.0,33056.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case3_vmini/dmp/pid.1144.0x7ff6656a0000.dmp,34404.0,6.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,1813504.0,1201664.0,0.0,1392640.0,4096.0,140696240128000.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,3026944.0,1024.0,3023270.0,3.0,49504.0,524288.0,65536.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case3_vmini/dmp/pid.1148.0x7ff65c690000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,26112.0,23040.0,0.0,20096.0,4096.0,140696089067520.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,115556.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case3_vmini/dmp/pid.1156.0x7ff65c690000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,26112.0,23040.0,0.0,20096.0,4096.0,140696089067520.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,115556.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case3_vmini/dmp/pid.1180.0x7ff65c690000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,26112.0,23040.0,0.0,20096.0,4096.0,140696089067520.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,115556.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case3_vmini/dmp/pid.1280.0x7ff65c690000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,26112.0,23040.0,0.0,20096.0,4096.0,140696089067520.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,115556.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case3_vmini/dmp/pid.1320.0x7ff65c690000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,26112.0,23040.0,0.0,20096.0,4096.0,140696089067520.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,115556.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0
E:/sampel/case3_vmini/dmp/pid.1336.0x7ff65c690000.dmp,34404.0,7.0,0.0,0.0,240.0,34.0,523.0,14.0,20.0,26112.0,23040.0,0.0,20096.0,4096.0,140696089067520.0,4096.0,512.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,69632.0,1024.0,115556.0,2.0,49504.0,524288.0,16384.0,1048576.0,4096.0,0.0,16.0
