    karakter  minorosv  majoriv  minoriv  minorsb  sizeosc  sizeohr  sizeohc  Predic
0        271         1        5        1        0     4096  1048576     4096       1
1        271         1        5        1        0    16384  1048576     4096       1
2        271         0        0        0        0     4096  1048576     4096       0
3        271         1        5        1        0    16384  1048576     4096       1
4        271         1        5        1        0    16384  1048576     4096       1
5        287         1        5        1        0    32768  1048576     4096       0
6        259         0        0        0        0     4096  1048576     4096       0
7        270         1        5        1       10    57344  1048576     4096       1
8        271         1        5        1        0     4096  1048576     4096       1
9        259         0        0        0        0     4096  1048576     4096       0
10       271         0        0        0        0     4096  1048576     4096       0
11       259         0        0        0        0     4096  1048576     4096       0
12       259         0        0        0        0     4096  1048576     4096       0
13       271         1        5        1        0     4096  1048576     4096       1
14       287         1    21315    20512        0    20480  1048576     4096       1
15       287         1        5        1        0    16384  1048576     4096       0
16       303         1        5        1        0    24576  1048576     4096       1
17       259         0        0        0        0     4096  1048576     4096       0
18       271         1        5        1        0    16384  1048576     4096       1
19       271         1        5        1        0     4096  1048576     4096       1
20       271         1        5        1        0    16384  1048576     4096       1
