name,Machine,NumberOfSections,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Win32VersionValue,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,keterangan
E:/sampel/zeus/pid632/file.0x80ef7e00.0xff39c008.ImageSectionObject.sfc_os.dll.img,332,4,0,0,224,8462,267,7,10,98304,61952,0,61594,4096,1992687616,4096,512,5,1,5,1,4,10,0,172032,1024,154453,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid632/file.0x80ef7e00.0xff39c008.ImageSectionObject.sfc_os.dll.img,332,4,0,0,224,8462,267,7,10,98304,61952,0,61594,4096,1992687616,4096,512,5,1,5,1,4,10,0,172032,1024,154453,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid632/file.0x80efb0f8.0x80f2eca0.ImageSectionObject.comctl32.dll.img,332,4,0,0,224,8462,267,7,10,458240,152576,0,13018,4096,1560870912,4096,512,5,1,5,1,4,0,0,618496,1024,651397,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid632/file.0x80efcd20.0x80f61110.ImageSectionObject.msvcrt.dll.img,332,4,0,0,224,8462,267,7,10,310784,39424,0,62113,4096,2009137152,4096,512,5,1,5,1,4,0,0,360448,1024,359635,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid632/file.0x80f04280.0x80f5a880.ImageSectionObject.imagehlp.dll.img,332,4,0,0,224,8462,267,7,10,135680,12288,0,4717,4096,1992884224,4096,512,5,1,5,1,4,0,0,163840,1024,188984,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid632/file.0x80f04790.0x80f277c8.ImageSectionObject.sxs.dll.img,332,4,0,0,224,8462,267,7,10,626176,86016,0,151044,4096,1978204160,4096,512,5,1,5,1,4,0,0,720896,1024,735812,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid632/file.0x80f05b90.0x80fb6cf8.ImageSectionObject.authz.dll.img,332,4,0,0,224,8462,267,7,10,52224,3584,0,4560,4096,2003566592,4096,512,5,1,5,1,4,10,0,69632,1024,89552,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid632/file.0x80f0d230.0x80f0af30.ImageSectionObject.wdmaud.drv.img,332,4,0,0,224,8462,267,7,10,19456,3072,0,17357,4096,1926365184,4096,512,5,1,5,1,4,0,0,36864,1024,64201,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid632/file.0x80f27750.0x80fb1108.ImageSectionObject.comctl32.dll.img,332,4,0,0,224,8462,267,7,10,589824,461312,0,17075,4096,2000486400,4096,512,5,1,5,1,4,10,0,1056768,1024,1065968,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid632/file.0x80f28b68.0xff3661e0.ImageSectionObject.uxtheme.dll.img,332,4,0,0,224,8462,267,7,10,193024,24576,0,5670,4096,1524039680,4096,512,5,1,5,1,4,10,0,229376,1024,255544,2,0,262144,4096,1048576,4096,0,16,1
