Volatility 3 Framework 2.3.0

Cache	FileObject	FileName	Result

DataSectionObject	0xb78f0c7ea4e0	USBXHCI.SYS.mui	Error dumping file
DataSectionObject	0xb78f0de713c0	EtwRTEventLog-Application.etl	Error dumping file
SharedCacheMap	0xb78f0de713c0	EtwRTEventLog-Application.etl	Error dumping file
DataSectionObject	0xb78f0de6fe30	EtwRTDiagLog.etl	Error dumping file
SharedCacheMap	0xb78f0de6fe30	EtwRTDiagLog.etl	Error dumping file
DataSectionObject	0xb78f0d73a9d0	Microsoft.Bluetooth.AvrcpTransport.sys.mui	Error dumping file
DataSectionObject	0xb78f0de71c60	EtwRTDefenderApiLogger.etl	Error dumping file
SharedCacheMap	0xb78f0de71c60	EtwRTDefenderApiLogger.etl	Error dumping file
DataSectionObject	0xb78f0d5da250	EtwRTEventlog-Security.etl	Error dumping file
SharedCacheMap	0xb78f0d5da250	EtwRTEventlog-Security.etl	Error dumping file
DataSectionObject	0xb78f0de70840	EtwRTDefenderAuditLogger.etl	Error dumping file
SharedCacheMap	0xb78f0de70840	EtwRTDefenderAuditLogger.etl	Error dumping file
DataSectionObject	0xb78f0df157b0	EtwRTEventLog-System.etl	Error dumping file
SharedCacheMap	0xb78f0df157b0	EtwRTEventLog-System.etl	Error dumping file
DataSectionObject	0xb78f0df136a0	EtwRTUBPM.etl	Error dumping file
SharedCacheMap	0xb78f0df136a0	EtwRTUBPM.etl	Error dumping file
DataSectionObject	0xb78f0df19130	bootstat.dat	file.0xb78f0df19130.0xb78f05af5d20.DataSectionObject.bootstat.dat.dat
SharedCacheMap	0xb78f0df19130	bootstat.dat	file.0xb78f0df19130.0xb78f0df40a20.SharedCacheMap.bootstat.dat.vacb
DataSectionObject	0xb78f0d574580	win32kbase.sys.mui	file.0xb78f0d574580.0xb78f0de801a0.DataSectionObject.win32kbase.sys.mui.dat
DataSectionObject	0xb78f0d7329e0	CldFlt2.etl	Error dumping file
SharedCacheMap	0xb78f0d7329e0	CldFlt2.etl	file.0xb78f0d7329e0.0xb78f0d44aa80.SharedCacheMap.CldFlt2.etl.vacb
DataSectionObject	0xb78f0d728320	pci.sys.mui	Error dumping file
DataSectionObject	0xb78f20285a40	bootstat.dat	file.0xb78f20285a40.0xb78f05af5d20.DataSectionObject.bootstat.dat.dat
SharedCacheMap	0xb78f20285a40	bootstat.dat	file.0xb78f20285a40.0xb78f0df40a20.SharedCacheMap.bootstat.dat.vacb
DataSectionObject	0xb78f10c6db60	EtwRTDiagtrack-Listener.etl	Error dumping file
SharedCacheMap	0xb78f10c6db60	EtwRTDiagtrack-Listener.etl	Error dumping file
DataSectionObject	0xb78f2234f850	icons.ttf	Error dumping file
ImageSectionObject	0xb78f0c303970	ntdll.dll	file.0xb78f0c303970.0xb78f0c433d30.ImageSectionObject.ntdll.dll.img
ImageSectionObject	0xb78f112ce400	Windows.Globalization.dll	file.0xb78f112ce400.0xb78f0c44b570.ImageSectionObject.Windows.Globalization.dll.img
ImageSectionObject	0xb78f0c3023e0	vertdll.dll	file.0xb78f0c3023e0.0xb78f0c08fa60.ImageSectionObject.vertdll.dll.img
ImageSectionObject	0xb78f0c303800	ntdll.dll	file.0xb78f0c303800.0xb78f0c3338a0.ImageSectionObject.ntdll.dll.img
DataSectionObject	0xb78f0d7f6e30	BBI	Error dumping file
SharedCacheMap	0xb78f0d7f6e30	BBI	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de45cf0	SAM	file.0xb78f0de45cf0.0xb78f0de749e0.DataSectionObject.SAM.dat
SharedCacheMap	0xb78f0de45cf0	SAM	Error dumping file
DataSectionObject	0xb78f0de44d50	SECURITY	file.0xb78f0de44d50.0xb78f0de748a0.DataSectionObject.SECURITY.dat
SharedCacheMap	0xb78f0de44d50	SECURITY	Error dumping file
DataSectionObject	0xb78f0de46970	DEFAULT	file.0xb78f0de46970.0xb78f0de74da0.DataSectionObject.DEFAULT.dat
SharedCacheMap	0xb78f0de46970	DEFAULT	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
DataSectionObject	0xb78f0de459d0	SOFTWARE	Error dumping file
SharedCacheMap	0xb78f0de459d0	SOFTWARE	Error dumping file
